City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
lavrentiya,0,RU,1612385107,85,65.5833,-171,-11.31,15.7
bambanglipuro,99,ID,1612385108,86,-7.95,110.2833,76.1,4.18
tautira,40,PF,1612385108,70,-17.7333,-149.15,84.2,3.44
unguia,8,CO,1612385108,64,8.0434,-77.0945,84.6,9.06
matay,0,EG,1612385108,52,28.419,30.7792,57.13,10.76
santa marta,2,CO,1612385109,62,11.2408,-74.199,88.0,7
nemuro,8,JP,1612385169,86,43.3236,145.575,14.68,20.45
sioux lookout,90,CA,1612385169,69,50.1001,-91.917,30.2,13.8
agadez,0,NE,1612385170,26,19.75,10.25,65.48,9.6
menongue,100,AO,1612385170,79,-14.6585,17.691,66.54,5.48
quzhou,92,CN,1612385170,84,28.9594,118.8686,50.58,4.47
hargeysa,0,SO,1612385170,55,9.56,44.065,57.97,11.05
kahului,40,US,1612385062,61,20.8947,-156.47,77.0,28.77
ust-kuyga,100,RU,1612385171,78,70.0167,135.6,-34.11,4.34
opatija,75,HR,1612385171,88,45.3392,14.3083,55.4,12.66
esmeraldas,40,EC,1612385171,62,-1.8675,-79.7994,88.0,5.75
belyy yar,0,RU,1612385171,59,53.6039,91.3903,32.0,13.42
san cristobal,75,EC,1612385172,83,-0.9045,-89.6174,82.4,13.8
ouadda,0,CF,1612385172,29,8.0777,22.4007,78.03,3.69
veraval,0,IN,1612385172,51,20.9,70.3667,69.22,9.22
katangli,0,RU,1612385172,83,51.7102,143.2326,-25.19,11.83
liaocheng,0,CN,1612385172,71,36.4439,115.9647,31.26,4.25
acapulco,20,MX,1612384885,74,16.8634,-99.8901,84.2,6.91
george,75,ZA,1612385173,94,-33.963,22.4617,64.4,3.44
vigrestad,0,NO,1612385174,73,58.5667,5.7,19.0,1.14
sudak,16,UA,1612385174,84,44.85,34.9667,50.0,6.93
teguldet,86,RU,1612385174,95,57.3064,88.1667,9.05,6.4
husavik,0,IS,1612385174,79,66.0449,-17.3389,15.8,9.22
tairua,58,NZ,1612385175,81,-37.0167,175.85,70.0,8.99
tuatapere,36,NZ,1612385175,68,-46.1333,167.6833,53.22,6.93
bushehr,0,IR,1612385175,72,28.9684,50.8385,60.8,5.26
waterfoot,67,GB,1612385175,98,53.6929,-2.2525,39.0,3.06
alice springs,45,AU,1612385176,24,-23.7,133.8833,69.8,8.9
male,75,MV,1612385083,83,4.1748,73.5089,82.4,18.41
geraldton,40,AU,1612385176,68,-28.7667,114.6,69.8,23.02
beloha,0,MG,1612385176,67,-25.1667,45.05,78.15,11.95
blagoyevo,100,RU,1612385177,93,63.3667,47.9167,2.66,3.02
dickinson,75,US,1612385177,59,29.4608,-95.0513,66.99,14.97
cidreira,100,BR,1612385177,91,-30.1811,-50.2056,76.69,7.94
pemangkat,82,ID,1612385178,87,1.1667,108.9667,76.32,7.25
linqiong,93,CN,1612385178,87,30.4159,103.4609,50.0,4
quibdo,90,CO,1612385178,69,5.6947,-76.6611,86.72,3.36
